# sampling pid=30000 interval=0.5s CLK_TCK=100  (Ctrl-C to stop)
# time           CPU%
19:42:25.94     2.0
19:42:26.45     0.0
19:42:26.96     0.0
19:42:27.47     0.0
19:42:27.98     0.0
19:42:28.49     0.0
19:42:29.00    16.0
19:42:29.51    10.0
19:42:30.02     4.0
19:42:30.53     6.0
19:42:31.04     8.0
19:42:31.55    22.0
19:42:32.06    22.0
19:42:32.57    18.0
19:42:33.08    18.0
19:42:33.59    26.0
19:42:34.10   102.0
19:42:34.60   100.0
19:42:35.11   102.0
19:42:35.62   100.0
19:42:36.13   102.0
19:42:36.64   100.0
19:42:37.15   100.0
19:42:37.66   100.0
19:42:38.17    98.0
19:42:38.68    74.0
19:42:39.19    94.0
19:42:39.70    84.0
19:42:40.21    78.0
19:42:40.72    80.0
19:42:41.23    86.0
19:42:41.73    80.0
19:42:42.24    70.0
19:42:42.75    90.0
19:42:43.26    62.0
19:42:43.77    44.0
19:42:44.28     4.0
19:42:44.79     8.0
19:42:45.30     0.0
19:42:45.81     0.0
19:42:46.32     2.0
19:42:46.83     2.0
19:42:47.34     0.0
19:42:47.85     0.0
19:42:48.36     0.0
19:42:48.87     0.0
19:42:49.39     0.0
19:42:49.90     0.0
19:42:50.41     0.0
19:42:50.92     0.0
19:42:51.43     0.0
19:42:51.94     0.0
19:42:52.45     0.0
19:42:52.97     0.0
19:42:53.48     0.0
19:42:53.99     0.0
19:42:54.50     0.0
19:42:55.01     0.0
19:42:55.52     0.0
19:42:56.03     0.0
19:42:56.54     0.0
19:42:57.05     0.0
19:42:57.56     0.0
19:42:58.07     0.0
19:42:58.58     0.0
19:42:59.09     0.0
19:42:59.60     0.0
19:43:00.11     0.0
19:43:00.62     0.0
19:43:01.13     0.0
19:43:01.64     0.0
19:43:02.15     0.0
19:43:02.66     0.0
19:43:03.17     0.0
19:43:03.68     0.0
19:43:04.19     2.0
19:43:04.70     0.0
19:43:05.21     0.0
19:43:05.73     0.0
19:43:06.24     0.0
19:43:06.75     0.0
19:43:07.26     0.0
19:43:07.77     0.0
19:43:08.28     0.0
19:43:08.79     0.0
19:43:09.30     0.0
19:43:09.81     0.0
19:43:10.32     0.0
19:43:10.83     0.0
19:43:11.34     0.0
# qirtas exited
